gene	consequence	class_current	blocking_reason	variants
BRCA1	frameshift	LP	RESOLVED_NOT_BLOCKED	1534
BRCA1	frameshift	VUS	MISSING_FUNCTIONAL	42
BRCA1	inframe_deletion	VUS	MISSING_FUNCTIONAL	8122
BRCA1	intronic	VUS	MISSING_FUNCTIONAL	7392
BRCA1	missense	VUS	MISSING_FUNCTIONAL	107038
BRCA1	nonsense	LP	RESOLVED_NOT_BLOCKED	5415
BRCA1	nonsense	VUS	MISSING_FUNCTIONAL	171
BRCA1	splice_acceptor	VUS	MISSING_FUNCTIONAL	176
BRCA1	splice_donor	VUS	MISSING_FUNCTIONAL	176
BRCA1	splice_region	VUS	MISSING_FUNCTIONAL	1151
BRCA1	start_lost	VUS	MISSING_FUNCTIONAL	68
BRCA1	stop_lost	VUS	MISSING_FUNCTIONAL	61
BRCA1	stop_retained	VUS	MISSING_FUNCTIONAL	2
BRCA1	synonymous	VUS	MISSING_FUNCTIONAL	4587
