gene	codes	target	variants
BRCA1	BA1	LB	128462
BRCA1	BS1	LB	122657
BRCA1	BP4	LB	88010
BRCA1	PP3+PS1	LP	77435
BRCA1	PS1	LP	16381
BRCA1	BP4_Splice	LB	9701
BRCA1	BP7	LB	4682
BRCA1	BP4+BS1	LB	4179
BRCA1	PP3	LP	4179
BRCA1	PM5+PS1	LP	2103
BRCA1	PM2_Supporting+PP3+PP3_Splice	LP	1293
BRCA1	PM2_Supporting+PP3_Splice+PS1	LP	1027
BRCA1	BP4_Splice+BS1	LB	720
BRCA1	PM2_Supporting+PP3_Splice	LP	720
BRCA1	PM5+PP3	LP	393
BRCA1	PVS1	LP	352
BRCA1	PM2_Supporting+PM5+PP3_Splice	LP	66
BRCA1	PM2_Supporting+PM5+PP3+PP3_Splice	LP	51
